33549;8536;4;60.00;6;360.00
33550;8536;89;12.00;6;72.00
33551;8537;8;84.00;1;84.00
33552;8537;19;39.00;1;39.00
33553;8537;20;39.00;1;39.00
33554;8537;23;22.50;2;45.00
33555;8538;4;62.00;3;186.00
33556;8538;5;58.00;2;116.00
33557;8538;31;11.00;1;11.00
33558;8538;1143;6.50;12;78.00
33559;8539;5;58.00;1;58.00
33560;8540;4;60.00;2;120.00
33561;8540;5;56.50;1;56.50
33562;8540;36;31.00;1;31.00
33563;8540;26;39.00;1;39.00
33564;8541;4;60.00;1;60.00
33565;8542;8;84.00;1;84.00
33566;8542;11;64.00;1;64.00
33567;8542;12;45.00;1;45.00
33569;8543;5;56.50;1;56.50
33570;8543;23;22.50;1;22.50
33571;8543;61;9.50;1;9.50
33594;8557;11;64.00;3;192.00
33595;8558;11;64.00;1;64.00
33596;8559;11;64.00;1;64.00
33597;8559;5;56.50;1;56.50
33598;8559;23;22.50;1;22.50
33599;8559;36;31.00;1;31.00
33600;8560;11;64.00;1;64.00
33601;8561;9;88.00;1;88.00
33602;8561;5;56.50;1;56.50
33603;8561;36;31.00;1;31.00
33612;8566;5;56.50;1;56.50
33613;8566;11;64.00;1;64.00
33614;8567;11;64.00;1;64.00
33615;8567;23;22.50;1;22.50
33616;8568;11;64.00;1;64.00
33622;8572;11;64.00;1;64.00
33623;8573;4;60.00;6;360.00
33624;8573;5;56.50;4;226.00
33625;8574;11;64.00;1;64.00
33626;8574;23;22.50;1;22.50
33627;8575;11;64.00;1;64.00
33628;8576;71;130.00;1;130.00
33629;8577;36;31.00;1;31.00
33630;8578;12;45.00;1;45.00
33631;8578;4;60.00;1;60.00
33640;8581;4;60.00;1;60.00
33641;8581;18;50.00;1;50.00
33642;8581;19;38.00;1;38.00
33643;8581;20;38.00;1;38.00
33644;8581;26;39.00;1;39.00
33645;8582;8;84.00;6;504.00
33646;8582;9;88.00;2;176.00
33647;8582;7;151.00;2;302.00
33648;8582;6;134.50;2;269.00
33649;8582;71;130.00;2;260.00
33650;8582;4;60.00;3;180.00
33651;8582;5;56.50;4;226.00
33652;8583;11;64.00;2;128.00
33653;8583;19;38.00;1;38.00
33654;8583;18;50.00;1;50.00
33655;8583;22;38.00;1;38.00
33656;8583;23;22.50;1;22.50
33657;8583;21;38.00;1;38.00
33658;8583;1128;5.00;6;30.00
33659;8584;11;64.00;1;64.00
33660;8584;4;60.00;1;60.00
33661;8585;13;46.00;1;46.00
33662;8585;4;60.00;1;60.00
33663;8585;11;64.00;1;64.00
33664;8585;8;86.00;1;86.00
33677;8590;11;66.00;1;66.00
33678;8590;5;58.00;2;116.00
33675;8589;4;60.00;2;120.00
33676;8589;11;64.00;1;64.00
33679;8590;4;62.00;2;124.00
33680;8591;11;66.00;1;66.00
33686;8594;37;9.00;1;9.00
